prediction	error	relative_error	error_decile	abs_error_decile
185648.14670551414	-45648.14670551414	-0.32605819075367243	3	4
484297.9709904293	2702.029009570717	0.005548314188030219	6	0
290822.824499487	-65822.824499487	-0.2925458866643867	1	7
57101.64200028143	-45101.64200028143	-3.758470166690119	3	4
656410.6304865103	-15764.630486510345	-0.024607397043781346	5	1
64328.3214712662	-44328.3214712662	-2.2164160735633103	3	4
98258.92979473578	-55758.929794735785	-1.3119748186996656	2	6
141260.88086563343	-51260.88086563343	-0.5695653429514825	2	5
12226779.471659627	55544.138983364435	0.0887413991452016	9	5
134815.92345883892	-49815.92345883892	-0.5860696877510462	2	5
135744.85829094343	-50744.85829094343	-0.5969983328346287	2	5
793760.0798297909	-82175.07982979086	-0.11548174825184744	0	8
69655.53443893015	-44655.534438930146	-1.7862213775572058	3	4
125723.24469772854	-50723.24469772854	-0.6763099293030472	2	5
68602.99040140788	-60502.99040140788	-7.469504987828133	2	6
147404.90071546688	-47404.90071546688	-0.4740490071546688	3	5
52782.110258509885	-50782.110258509885	-25.391055129254944	2	5
126009.57408219924	-72009.57408219924	-1.3335106311518377	1	7
42924.17403725644	-41324.17403725644	-25.827608773285274	3	4
74145.60788974882	-44145.60788974882	-1.4715202629916273	3	4
126251.9006418937	-37751.900641893706	-0.42657514849597405	3	4
167485.60815863774	-77485.60815863774	-0.8609512017626415	1	8
59266.12223059105	-47766.12223059105	-4.153575846138352	3	5
100396.9069407036	-55396.9069407036	-1.23104237646008	2	5
70372.87292268343	-55372.872922683426	-3.6915248615122285	2	5
60279.855033697386	-54279.855033697386	-9.046642505616232	2	5
95620.29450493513	-37620.294504935126	-0.6486257673264677	3	4
118871.3572800347	-53450.3572800347	-0.817021404136817	2	5
99469.82099283188	-55469.82099283188	-1.2606777498370882	2	5
466950.1514448848	-8715.151444884774	-0.019018956310375187	5	0
38236.60237634998	-1236.6023763499834	-0.03342168584729685	6	0
66310.00112269708	-54310.00112269708	-4.525833426891423	2	5
135547.43318803748	-48547.43318803748	-0.5580164734257181	2	5
1211696.8832409144	28303.116759085562	0.022825094160552874	8	3
52830.54944493064	-42830.54944493064	-4.283054944493064	3	4
59370.943380857745	-39370.943380857745	-1.9685471690428873	3	4
40931.06617196217	-38131.06617196217	-13.618237918557918	3	4
66907.11907600386	-46907.11907600386	-2.345355953800193	3	5
64433.50142277959	-55933.50142277959	-6.5804119320917165	2	6
45806.14944041117	-43806.14944041117	-21.903074720205588	3	4
