prediction	error	relative_error	error_decile	abs_error_decile
184029.78872283772	-44029.78872283772	-0.31449849087741233	3	4
482528.17968195834	4471.82031804166	0.009182382583247762	6	0
291043.64630309684	-66043.64630309684	-0.29352731690265266	2	6
55428.815814804766	-43428.815814804766	-3.6190679845670637	3	4
656920.07780847	-16274.07780847	-0.025402605820484325	5	1
62659.662823136125	-42659.662823136125	-2.132983141156806	3	4
96495.25544075036	-53995.25544075036	-1.2704765986058908	2	5
139509.06093088735	-49509.06093088735	-0.5501006770098595	3	5
12230000.593217647	51385.32861405941	0.0885013298177922	9	5
133327.22206707828	-48327.222067078284	-0.5685555537303327	3	5
134128.14684060123	-49128.14684060123	-0.5779781981247203	3	5
793250.9446042653	-81665.94460426527	-0.11476625365102591	1	8
68356.57719243255	-43356.57719243255	-1.7342630876973022	3	4
124237.50965999243	-49237.50965999243	-0.656500128799899	3	5
67917.06366907082	-59817.06366907082	-7.384822675193928	2	6
146056.44863543133	-46056.44863543133	-0.46056448635431324	3	4
52076.24919444027	-51276.24919444027	-64.09531149305035	3	5
126277.24738296382	-72277.24738296382	-1.3384675441289595	1	7
41925.08947997002	-41125.08947997002	-51.40636184996252	3	4
72852.92108329883	-42852.92108329883	-1.4284307027766276	3	4
124612.7066259586	-36112.7066259586	-0.40805318221422143	4	3
167827.23564496444	-77827.23564496444	-0.8647470627218271	1	8
57711.313771912304	-46211.313771912304	-4.01837511060107	3	4
98651.12094395075	-53651.12094395075	-1.1922471320877945	2	5
69014.3928672962	-54014.39286729621	-3.600959524486414	2	5
58103.85064885288	-52103.85064885288	-8.683975108142146	3	5
93785.07771319457	-35785.077713194565	-0.6169840985033546	4	3
117132.42707260547	-51711.42707260547	-0.7904407922930782	3	5
97726.78701622007	-53726.78701622007	-1.221063341277729	2	5
465264.5851999636	-7029.5851999635925	-0.015340568049065638	6	0
41844.5182585517	-4844.518258551703	-0.13093292590680278	6	0
65344.224291828315	-53344.224291828315	-4.4453520243190265	2	5
134207.93403327058	-47207.934033270576	-0.5426199314169031	3	4
1211896.7510566001	28103.24894339987	0.0226639104382257	8	2
51704.1231969035	-41704.1231969035	-4.1704123196903495	3	4
57302.08285399368	-37302.08285399368	-1.865104142699684	4	3
39253.22106207485	-36453.22106207485	-13.01900752216959	4	3
65361.88558264109	-45361.88558264109	-2.2680942791320544	3	4
63080.96374258127	-54580.96374258127	-6.4212898520683845	2	5
43835.29169841338	-41835.29169841338	-20.91764584920669	3	4
243689.3835386068	-36689.38353860681	-0.17724339873723097	4	3
136888.29404530124	-46888.29404530124	-0.5209810449477916	3	4
89065.86354270893	-41065.86354270893	-0.8555388238064361	3	4
80469.7111248996	-55469.71112489959	-2.2187884449959836	2	5
54281.977684536134	-44681.977684536134	-4.654372675472514	3	4
19244.002902004955	2755.997097995045	0.12527259536341112	6	0
68943.21322898632	-44943.21322898632	-1.8726338845410968	3	4
1435925.3621133894	51385.32861405941	0.04271642525774039	9	5
148296.17614513042	-96488.38659740324	-4.296292005183229	0	9
123923.43312162746	-50923.43312162746	-0.6975812756387323	3	5
86861.78314088991	-54761.78314088991	-1.705974552675698	2	5
103075.42581956566	-53075.42581956566	-1.0615085163913132	2	5
59258.33069383634	-39258.33069383634	-1.962916534691817	3	4
56625.15630857152	-38625.15630857152	-2.1458420171428623	3	4
3970953.843426782	51385.32861405941	0.07353397040528818	9	5
46336.429009150714	-45436.429009150714	-50.48492112127857	3	4
78862.5268356162	-43862.5268356162	-1.2532150524461771	3	4
168560.8860245	-33625.88602450001	-0.249200622703524	4	3
174599.26118846235	-34799.26118846235	-0.248921753851662	4	3
76522.6110995208	-36522.6110995208	-0.91306527748802	4	3
134270.0578138648	-36270.05781386481	-0.3701026307537226	4	3
7341.125141534896	-2341.125141534896	-0.4682250283069792	6	0
214675.61432377473	-63775.61432377473	-0.4226349524438352	2	6
100480.56171117828	-51480.56171117828	-1.0506237083913934	3	5
102339.23143443928	-47339.23143443928	-0.8607132988079869	3	4
1672023.615224955	9976.384775045095	0.005931263243189711	7	1
43824.49113745043	-43024.49113745043	-53.780613921813035	3	4
238881.08568576368	-38881.08568576368	-0.19440542842881842	3	4
65965.75678301505	-56865.75678301505	-6.2489842618697855	2	5
32959.727062526305	-13159.727062526305	-0.664632679925571	5	1
196566.76160745852	-31566.761607458524	-0.19131370671186984	4	3
69749.41409948126	-44749.41409948126	-1.7899765639792504	3	4
43521.40939069289	-41721.40939069289	-23.17856077260716	3	4
67745.162875762	-55745.162875762006	-4.645430239646834	2	5
