Bulbasaur	Grass	Poison	318	45	49	49	65	65	45	1	false	0.06708169690901196	0.046978555303290176	0.6034052943304636	0.04253595474055043	0.0019561379737859847	0.030588614371208626	0.07921059140274248	0.033482688744180616	0.0	0.0051089723019036165	0.06907805693026785	0.0	0.017313207036284573	0.0032602299563099747	0.0	0.0	0.0	0.0	Poison	true
Ivysaur	Grass	Poison	405	60	62	63	80	80	60	1	false	0.08898790009468163	0.053700606743616756	0.48331926990698987	0.060313577747592356	0.010155156850929211	0.04042377095963629	0.043365261641902915	0.032867543015307005	0.01879513716174186	0.013616008787549755	0.0458994036879461	0.005881203859836124	0.0672665357070286	0.014784263631625381	0.006160232018262314	0.01446412818535389	0.0	0.0	Poison	true
Venusaur	Grass	Poison	525	80	82	83	100	100	80	1	false	0.1558441506491771	0.06915750252592506	0.1680394405573213	0.09851845773213525	0.04922757500645955	0.0328616765013723	0.07753925209446098	0.023825883850454883	0.026949690169281452	0.08273020193680261	0.03857816785475862	0.00346553074291292	0.09191273374073602	0.020234272411344283	0.020700122927849632	0.031726907630522085	0.0	0.008688433668485875	Poison	true
VenusaurMega Venusaur	Grass	Poison	625	80	100	123	122	120	80	1	false	0.09235317228030304	0.057463954791233694	0.06818503637819001	0.0915316845914663	0.06101551943210294	0.06159666149932601	0.10929875402219356	0.09661728837405462	0.06954067728115647	0.11617713436156615	0.04740728312523241	0.021079851067989434	0.04066515779600357	0.01806180017277903	0.04900602482640274	0.0	0.0	0.0	Dragon	false
Charmander	Fire		309	39	52	43	60	50	65	1	false																				
Charmeleon	Fire		405	58	64	58	80	65	80	1	false																				
Charizard	Fire	Flying	534	78	84	78	109	85	100	1	false	0.22326340356764218	0.045959903891198	0.10458964717797037	0.13644447623224065	0.0596471280927388	0.021036071547901877	0.042732119317178754	0.02876828836813148	0.03680822861702553	0.05048896258612979	0.018451538773461052	0.0	0.04458721125020137	0.022810145904466665	0.09372933414098904	0.061995106864238564	0.0	0.008688433668485875	Flying	true
CharizardMega Charizard X	Fire	Dragon	634	78	130	111	130	85	100	1	false	0.11236393873051648	0.055394732219228526	0.05318933780737642	0.12213089040232551	0.10405651723400945	0.04235955639239606	0.05123159694315902	0.05958167778356309	0.07159145722124785	0.08964120887885177	0.04463517164613405	0.002679335779924003	0.0449706669234119	0.0441455168313956	0.10202839520646025	0.0	0.0	0.0	Psychic	false
CharizardMega Charizard Y	Fire	Flying	634	78	104	78	159	115	100	1	false	0.15562804988911993	0.035270941396914744	0.09891443294702693	0.11517481573207754	0.04814985123998442	0.02643919670546798	0.04984541210930019	0.021166505623151723	0.05510996759188139	0.07260510783767603	0.00648708407072858	0.0	0.048741596162713265	0.02978905391719122	0.1977213518745637	0.030268199233716476	0.0	0.008688433668485875	Fire	false
Squirtle	Water		314	44	48	65	50	64	43	1	false																				
Wartortle	Water		405	59	63	80	65	80	58	1	false																				
Blastoise	Water		530	79	83	100	85	105	78	1	false																				
BlastoiseMega Blastoise	Water		630	79	103	120	135	115	78	1	false																				
Caterpie	Bug		195	45	30	35	20	20	45	1	false																				
Metapod	Bug		205	50	20	55	25	25	30	1	false																				
Butterfree	Bug	Flying	395	60	45	50	90	80	70	1	false	0.2685535242274812	0.020429474890634812	0.26891219835847757	0.0725374452947051	0.0022545678348610495	0.01473991527448039	0.08045904171859579	0.06377266654798285	0.013126785728035904	0.002004060297654266	0.09162158691357579	0.0	0.04001193623034796	0.00982784297775712	0.0015030452232406995	0.050245908482169484	0.0	0.0	Poison	false
Weedle	Bug	Poison	195	40	35	30	20	20	50	1	false	0.2857528111028158	0.11208885091355028	0.27816695881929016	0.02792031463710089	0.0	0.03610831621338061	0.061450288130873186	0.02547316180097001	0.0	0.024275838215587243	0.08065673740907547	0.015900704461590073	0.022888858350336397	0.005193999506055872	0.0	0.0	0.0	0.024123160439374017	Flying	false
Kakuna	Bug	Poison	205	45	25	50	25	25	35	1	false	0.07064800066297025	0.05449660710658232	0.3879369701082113	0.06238928530941337	0.0	0.04355530219721357	0.12269037937537958	0.07594546997247992	0.0	0.0	0.08142617325832281	0.015900704461590073	0.0	0.009443291290758422	0.0	0.0	0.0	0.07556781625707837	Poison	true
Beedrill	Bug	Poison	395	65	90	40	45	80	75	1	false	0.20248369015670428	0.05282361147674909	0.36962359309582327	0.044928828715324186	0.028549290211115956	0.01514575806063163	0.05500656733074781	8.35025124022611E-4	0.041439085443060394	0.021971522903149934	0.045872725484184244	0.0	0.035240274712322495	0.008302221129600456	0.006050389407948576	0.0	0.0	0.07172741674861502	Poison	true
BeedrillMega Beedrill	Bug	Poison	495	65	150	40	15	80	145	1	false	0.20267952806625286	0.017754774998696956	0.30828456207593846	0.02986894797352584	0.08707976791520917	0.020726471370746437	0.010188222672809544	0.017597336448206675	0.030792655869027456	0.027214604495220677	0.0027257710438581737	0.0	0.17554278580125768	0.0049664612233652735	0.011122033834945252	0.0	0.030319829424307037	0.02313624678663239	Poison	true
Pidgey	Normal	Flying	251	40	45	40	35	35	56	1	false	0.38731885508100466	0.08679716157979485	0.2609159187607004	0.047041234129279436	0.0	0.016345198158099556	0.07708173543205911	0.024246248637250497	0.003985180949833208	0.02826101916542045	0.03379200007646377	0.015900704461590073	0.013120744062448097	0.005193999506055872	0.0	0.0	0.0	0.0	Flying	true
Pidgeotto	Normal	Flying	349	63	60	55	50	50	71	1	false	0.30426693287546136	0.08148225962293429	0.2893549017905244	0.04401285815769259	0.010693824642399466	0.021259363351582027	0.025355543659196175	8.35025124022611E-4	0.04311137953837187	0.012407471756087973	0.027767977425722037	0.0	0.05917085673633455	0.007679930275349772	0.004395870860311477	0.04227015086818533	0.0	0.025935653315824033	Flying	true
Pidgeot	Normal	Flying	479	83	80	75	70	70	101	1	false	0.20247377938498107	0.07099244253687166	0.1896582855495043	0.06887255911421239	0.03574636848296042	0.02127767120546407	0.02595131071439224	0.008158452796137248	0.03193537063587611	0.06931878593752185	0.05871401165715943	0.0	0.14845097698960225	0.008815021112301013	0.05963496388301586	0.0	0.0	0.0	Flying	true
PidgeotMega Pidgeot	Normal	Flying	579	83	80	80	135	80	121	1	false	0.18883835902631857	0.011044150182694409	0.15020270334182567	0.07957362975701764	0.047621156280818915	0.027395664704389953	0.028266179349261986	0.01527425823714264	0.01268815704432666	0.1337040525318805	0.033257230136872526	0.0	0.049798490296115286	0.03694861918443643	0.1853873499268987	0.0	0.0	0.0	Flying	true
Rattata	Normal		253	30	56	35	25	35	72	1	false																				
Raticate	Normal		413	55	81	60	50	70	97	1	false																				
